id,device_id,ts,activity,pp1,pp2,pp3,grassIndex,recipient,sender,time,treeIndex,weedIndex
1,-1,2022-06-09T16:35:36,,webclient_1654785335736,,,65.0,"allergy_old_pollen_data","webclient_1654785335736",1.65227405E9,373.0,27.0
2,-1,2022-06-09T16:35:37,,webclient_1654785335736,,,93.0,"allergy_old_pollen_data","webclient_1654785335736",1.65228122E9,402.0,16.0
3,-1,2022-06-09T16:35:37,,webclient_1654785335736,,,65.0,"allergy_old_pollen_data","webclient_1654785335736",1.6522848E9,368.0,27.0
4,-1,2022-06-09T16:35:38,,webclient_1654785335736,,,83.0,"allergy_old_pollen_data","webclient_1654785335736",1.65228838E9,393.0,44.0
5,-1,2022-06-09T16:35:38,,webclient_1654785335736,,,76.0,"allergy_old_pollen_data","webclient_1654785335736",1.65229197E9,383.0,38.0
6,-1,2022-06-09T16:35:39,,webclient_1654785335736,,,81.0,"allergy_old_pollen_data","webclient_1654785335736",1.65229555E9,387.0,43.0
7,-1,2022-06-09T16:35:39,,webclient_1654785335736,,,65.0,"allergy_old_pollen_data","webclient_1654785335736",1.65229926E9,373.0,27.0
8,-1,2022-06-09T16:35:40,,webclient_1654785335736,,,92.0,"allergy_old_pollen_data","webclient_1654785335736",1.65230285E9,397.0,16.0
9,-1,2022-06-09T16:35:40,,webclient_1654785335736,,,93.0,"allergy_old_pollen_data","webclient_1654785335736",1.65230643E9,402.0,16.0
10,-1,2022-06-09T16:35:41,,webclient_1654785335736,,,65.0,"allergy_old_pollen_data","webclient_1654785335736",1.65231002E9,368.0,27.0
11,-1,2022-06-09T16:35:41,,webclient_1654785335736,,,29.0,"allergy_old_pollen_data","webclient_1654785335736",1.6523136E9,127.0,5.0
12,-1,2022-06-09T16:35:42,,webclient_1654785335736,,,22.0,"allergy_old_pollen_data","webclient_1654785335736",1.65231718E9,128.0,9.0
13,-1,2022-06-09T16:35:42,,webclient_1654785335736,,,52.0,"allergy_old_pollen_data","webclient_1654785335736",1.65232077E9,249.0,28.0
14,-1,2022-06-09T16:35:43,,webclient_1654785335736,,,51.0,"allergy_old_pollen_data","webclient_1654785335736",1.65232435E9,257.0,25.0
15,-1,2022-06-09T16:35:43,,webclient_1654785335736,,,56.0,"allergy_old_pollen_data","webclient_1654785335736",1.65232794E9,265.0,29.0
16,-1,2022-06-09T16:35:44,,webclient_1654785335736,,,52.0,"allergy_old_pollen_data","webclient_1654785335736",1.65233523E9,226.0,9.0
17,-1,2022-06-09T16:35:45,,webclient_1654785335736,,,59.0,"allergy_old_pollen_data","webclient_1654785335736",1.65233882E9,255.0,10.0
18,-1,2022-06-09T16:35:45,,webclient_1654785335736,,,22.0,"allergy_old_pollen_data","webclient_1654785335736",1.6523424E9,127.0,9.0
19,-1,2022-06-09T16:35:46,,webclient_1654785335736,,,29.0,"allergy_old_pollen_data","webclient_1654785335736",1.65234598E9,141.0,15.0
20,-1,2022-06-09T16:35:46,,webclient_1654785335736,,,27.0,"allergy_old_pollen_data","webclient_1654785335736",1.65234957E9,135.0,13.0
21,-1,2022-06-09T16:35:47,,webclient_1654785335736,,,28.0,"allergy_old_pollen_data","webclient_1654785335736",1.65235315E9,137.0,15.0
22,-1,2022-06-09T16:35:47,,webclient_1654785335736,,,23.0,"allergy_old_pollen_data","webclient_1654785335736",1.65235686E9,133.0,9.0
23,-1,2022-06-09T16:35:48,,webclient_1654785335736,,,32.0,"allergy_old_pollen_data","webclient_1654785335736",1.65236045E9,139.0,5.0
24,-1,2022-06-09T16:35:48,,webclient_1654785335736,,,33.0,"allergy_old_pollen_data","webclient_1654785335736",1.65236403E9,144.0,5.0
25,-1,2022-06-09T16:35:49,,webclient_1654785335736,,,21.0,"allergy_old_pollen_data","webclient_1654785335736",1.65236762E9,120.0,8.0
26,-1,2022-06-09T16:35:49,,webclient_1654785335736,,,29.0,"allergy_old_pollen_data","webclient_1654785335736",1.6523712E9,141.0,15.0
27,-1,2022-06-09T16:35:50,,webclient_1654785335736,,,27.0,"allergy_old_pollen_data","webclient_1654785335736",1.65237478E9,135.0,13.0
28,-1,2022-06-09T16:35:50,,webclient_1654785335736,,,28.0,"allergy_old_pollen_data","webclient_1654785335736",1.65237837E9,136.0,15.0
29,-1,2022-06-09T16:35:51,,webclient_1654785335736,,,41.0,"allergy_old_pollen_data","webclient_1654785335736",1.65238195E9,236.0,17.0
30,-1,2022-06-09T16:35:51,,webclient_1654785335736,,,68.0,"allergy_old_pollen_data","webclient_1654785335736",1.65238554E9,295.0,12.0
31,-1,2022-06-09T16:35:52,,webclient_1654785335736,,,72.0,"allergy_old_pollen_data","webclient_1654785335736",1.65238925E9,312.0,12.0
32,-1,2022-06-09T16:35:53,,webclient_1654785335736,,,62.0,"allergy_old_pollen_data","webclient_1654785335736",1.65239642E9,294.0,33.0
33,-1,2022-06-09T16:35:53,,webclient_1654785335736,,,31.0,"allergy_old_pollen_data","webclient_1654785335736",1.6524E9,178.0,13.0
34,-1,2022-06-09T16:35:54,,webclient_1654785335736,,,39.0,"allergy_old_pollen_data","webclient_1654785335736",1.65240358E9,186.0,20.0
35,-1,2022-06-09T16:35:54,,webclient_1654785335736,,,32.0,"allergy_old_pollen_data","webclient_1654785335736",1.65240717E9,161.0,16.0
36,-1,2022-06-09T16:35:55,,webclient_1654785335736,,,24.0,"allergy_old_pollen_data","webclient_1654785335736",1.65241075E9,115.0,12.0
37,-1,2022-06-09T16:35:55,,webclient_1654785335736,,,25.0,"allergy_old_pollen_data","webclient_1654785335736",1.65241446E9,142.0,10.0
38,-1,2022-06-09T16:35:56,,webclient_1654785335736,,,31.0,"allergy_old_pollen_data","webclient_1654785335736",1.65241805E9,135.0,5.0
39,-1,2022-06-09T16:35:56,,webclient_1654785335736,,,33.0,"allergy_old_pollen_data","webclient_1654785335736",1.65242163E9,144.0,5.0
40,-1,2022-06-09T16:35:57,,webclient_1654785335736,,,22.0,"allergy_old_pollen_data","webclient_1654785335736",1.65242522E9,129.0,9.0
41,-1,2022-06-09T16:35:57,,webclient_1654785335736,,,30.0,"allergy_old_pollen_data","webclient_1654785335736",1.6524288E9,143.0,16.0
42,-1,2022-06-09T16:35:58,,webclient_1654785335736,,,25.0,"allergy_old_pollen_data","webclient_1654785335736",1.65243238E9,129.0,12.0
43,-1,2022-06-09T16:35:58,,webclient_1654785335736,,,27.0,"allergy_old_pollen_data","webclient_1654785335736",1.65243597E9,130.0,14.0
44,-1,2022-06-09T16:35:59,,webclient_1654785335736,,,22.0,"allergy_old_pollen_data","webclient_1654785335736",1.65243955E9,126.0,9.0
45,-1,2022-06-09T16:35:59,,webclient_1654785335736,,,30.0,"allergy_old_pollen_data","webclient_1654785335736",1.65244314E9,132.0,5.0
46,-1,2022-06-09T16:36:00,,webclient_1654785335736,,,32.0,"allergy_old_pollen_data","webclient_1654785335736",1.65244685E9,137.0,5.0
47,-1,2022-06-09T16:36:01,,webclient_1654785335736,,,28.0,"allergy_old_pollen_data","webclient_1654785335736",1.65245402E9,135.0,15.0
48,-1,2022-06-09T16:36:01,,webclient_1654785335736,,,27.0,"allergy_old_pollen_data","webclient_1654785335736",1.6524576E9,136.0,13.0
49,-1,2022-06-09T16:36:02,,webclient_1654785335736,,,29.0,"allergy_old_pollen_data","webclient_1654785335736",1.65246118E9,138.0,15.0
50,-1,2022-06-09T16:36:02,,webclient_1654785335736,,,23.0,"allergy_old_pollen_data","webclient_1654785335736",1.65246477E9,134.0,9.0
51,-1,2022-06-09T16:36:03,,webclient_1654785335736,,,34.0,"allergy_old_pollen_data","webclient_1654785335736",1.65246835E9,149.0,6.0
52,-1,2022-06-09T16:36:03,,webclient_1654785335736,,,28.0,"allergy_old_pollen_data","webclient_1654785335736",1.65247206E9,122.0,5.0
53,-1,2022-06-09T16:36:04,,webclient_1654785335736,,,29.0,"allergy_old_pollen_data","webclient_1654785335736",1.65247923E9,137.0,15.0
54,-1,2022-06-09T16:36:05,,webclient_1654785335736,,,26.0,"allergy_old_pollen_data","webclient_1654785335736",1.65248282E9,131.0,13.0
55,-1,2022-06-09T16:36:06,,webclient_1654785335736,,,62.0,"allergy_old_pollen_data","webclient_1654785335736",1.65248998E9,315.0,30.0
56,-1,2022-06-09T16:36:06,,webclient_1654785335736,,,56.0,"allergy_old_pollen_data","webclient_1654785335736",1.65249357E9,269.0,30.0
57,-1,2022-06-09T16:36:07,,webclient_1654785335736,,,46.0,"allergy_old_pollen_data","webclient_1654785335736",1.65249715E9,261.0,19.0
58,-1,2022-06-09T16:36:07,,webclient_1654785335736,,,78.0,"allergy_old_pollen_data","webclient_1654785335736",1.65250074E9,337.0,12.0
59,-1,2022-06-09T16:36:08,,webclient_1654785335736,,,69.0,"allergy_old_pollen_data","webclient_1654785335736",1.65250445E9,297.0,12.0
