id,device_id,ts,activity,pp1,pp2,pp3,coco,dwpt,prcp,pres,recipient,rhum,sender,temp,time,wdir,wpgt,wspd
1,-1,2022-06-09T16:32:51,,webclient_1654785171027,,,4.0,9.0,0.0,1014.6,"allergy_old_weather_data",62.0,"webclient_1654785171027",16.3,"2022-05-11 00:00:00",200.0,11.0,7.2
2,-1,2022-06-09T16:32:52,,webclient_1654785171027,,,4.0,9.1,0.0,1013.6,"allergy_old_weather_data",61.0,"webclient_1654785171027",16.7,"2022-05-11 02:00:00",190.0,14.8,10.8
3,-1,2022-06-09T16:32:52,,webclient_1654785171027,,,4.0,9.2,0.0,1012.9,"allergy_old_weather_data",62.0,"webclient_1654785171027",16.5,"2022-05-11 03:00:00",200.0,18.0,10.8
4,-1,2022-06-09T16:32:53,,webclient_1654785171027,,,4.0,9.3,0.0,1012.6,"allergy_old_weather_data",63.0,"webclient_1654785171027",16.4,"2022-05-11 04:00:00",210.0,18.0,10.8
5,-1,2022-06-09T16:32:53,,webclient_1654785171027,,,4.0,9.4,0.0,1012.5,"allergy_old_weather_data",65.0,"webclient_1654785171027",16.0,"2022-05-11 05:00:00",200.0,16.7,10.8
6,-1,2022-06-09T16:32:54,,webclient_1654785171027,,,4.0,9.3,0.0,1011.9,"allergy_old_weather_data",67.0,"webclient_1654785171027",15.4,"2022-05-11 06:00:00",190.0,14.0,10.8
7,-1,2022-06-09T16:32:54,,webclient_1654785171027,,,1.0,9.7,0.0,1011.9,"allergy_old_weather_data",71.0,"webclient_1654785171027",14.9,"2022-05-11 07:00:00",210.0,14.0,10.8
8,-1,2022-06-09T16:32:55,,webclient_1654785171027,,,1.0,9.5,0.0,1012.1,"allergy_old_weather_data",63.0,"webclient_1654785171027",16.6,"2022-05-11 08:00:00",230.0,20.4,21.6
9,-1,2022-06-09T16:32:56,,webclient_1654785171027,,,3.0,9.1,0.0,1012.0,"allergy_old_weather_data",53.0,"webclient_1654785171027",18.9,"2022-05-11 10:00:00",240.0,36.0,21.6
10,-1,2022-06-09T16:32:56,,webclient_1654785171027,,,3.0,9.0,0.0,1011.9,"allergy_old_weather_data",51.0,"webclient_1654785171027",19.4,"2022-05-11 11:00:00",240.0,33.3,21.6
11,-1,2022-06-09T16:32:57,,webclient_1654785171027,,,4.0,9.5,0.0,1011.5,"allergy_old_weather_data",48.0,"webclient_1654785171027",20.9,"2022-05-11 12:00:00",220.0,40.0,25.2
12,-1,2022-06-09T16:32:57,,webclient_1654785171027,,,2.0,9.4,0.0,1011.1,"allergy_old_weather_data",46.0,"webclient_1654785171027",21.5,"2022-05-11 13:00:00",220.0,47.0,25.2
13,-1,2022-06-09T16:32:58,,webclient_1654785171027,,,2.0,9.0,0.0,1010.6,"allergy_old_weather_data",43.0,"webclient_1654785171027",22.2,"2022-05-11 14:00:00",210.0,44.5,28.8
14,-1,2022-06-09T16:32:58,,webclient_1654785171027,,,2.0,9.7,0.0,1010.2,"allergy_old_weather_data",40.0,"webclient_1654785171027",24.1,"2022-05-11 15:00:00",230.0,40.0,25.2
15,-1,2022-06-09T16:32:59,,webclient_1654785171027,,,2.0,9.3,0.0,1009.9,"allergy_old_weather_data",41.0,"webclient_1654785171027",23.3,"2022-05-11 16:00:00",240.0,47.0,32.4
16,-1,2022-06-09T16:32:59,,webclient_1654785171027,,,3.0,9.6,0.0,1009.4,"allergy_old_weather_data",42.0,"webclient_1654785171027",23.2,"2022-05-11 17:00:00",230.0,46.3,21.6
17,-1,2022-06-09T16:33:00,,webclient_1654785171027,,,4.0,9.7,0.0,1009.2,"allergy_old_weather_data",42.0,"webclient_1654785171027",23.3,"2022-05-11 18:00:00",240.0,47.0,28.8
18,-1,2022-06-09T16:33:00,,webclient_1654785171027,,,4.0,9.6,0.0,1009.1,"allergy_old_weather_data",44.0,"webclient_1654785171027",22.5,"2022-05-11 19:00:00",250.0,43.0,21.6
